"season","driver","car","track","direction","grand_prix","date","position","player_name","player_time","points","screenshot_link"
"2021_gp1","xing","sentinel","ski_paradise","normal","hotshot",2021-02-28,3,"rpodcast","02:27:869",10,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-28-hotshot-ski_paradise-normal/2021_gp1-2021-02-28-hotshot-ski_paradise-normal.png"
"2021_gp1","xing","sentinel","ski_paradise","normal","hotshot",2021-02-28,4,"Wimpy","02:27:870",9,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-28-hotshot-ski_paradise-normal/2021_gp1-2021-02-28-hotshot-ski_paradise-normal.png"
"2021_gp1","xing","sentinel","ski_paradise","normal","hotshot",2021-02-28,5,"FrenchguyCH","02:29:700",8,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-28-hotshot-ski_paradise-normal/2021_gp1-2021-02-28-hotshot-ski_paradise-normal.png"
"2021_gp1","xing","sentinel","ski_paradise","normal","hotshot",2021-02-28,6,"TwoD","02:30:408",7,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-28-hotshot-ski_paradise-normal/2021_gp1-2021-02-28-hotshot-ski_paradise-normal.png"
"2021_gp1","xing","sentinel","ski_paradise","normal","hotshot",2021-02-28,7,"bigcalm","02:35:210",6,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-28-hotshot-ski_paradise-normal/2021_gp1-2021-02-28-hotshot-ski_paradise-normal.png"
"2021_gp1","xing","sentinel","ski_paradise","normal","hotshot",2021-02-28,8,"madhens","02:39:986",5,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-28-hotshot-ski_paradise-normal/2021_gp1-2021-02-28-hotshot-ski_paradise-normal.png"
"2021_gp1","xing","sentinel","temple_ruins","normal","hotshot",2021-02-28,1,"rpodcast","03:02:752",12,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-28-hotshot-temple_ruins-normal/2021_gp1-2021-02-28-hotshot-temple_ruins-normal.png"
"2021_gp1","xing","sentinel","temple_ruins","normal","hotshot",2021-02-28,2,"Wimpy","03:02:798",11,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-28-hotshot-temple_ruins-normal/2021_gp1-2021-02-28-hotshot-temple_ruins-normal.png"
"2021_gp1","xing","sentinel","temple_ruins","normal","hotshot",2021-02-28,3,"bigpod","03:03:015",10,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-28-hotshot-temple_ruins-normal/2021_gp1-2021-02-28-hotshot-temple_ruins-normal.png"
"2021_gp1","xing","sentinel","temple_ruins","normal","hotshot",2021-02-28,4,"FrenchguyCH","03:03:053",9,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-28-hotshot-temple_ruins-normal/2021_gp1-2021-02-28-hotshot-temple_ruins-normal.png"
